color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Comedy,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
red,William Friedkin,304,132,607,259,Linda Blair,1000,137387272,Drama|Horror|Thriller,Ellen Burstyn,The Exorcist,284252,2466,Lee J. Cobb,0,demonic possession|exorcism|exorcist|loss of innocence|priest,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,1058,English,USA,R,8000000,1973,931,8,1.37,18000
red,Randal Kleiser,124,110,116,898,Stockard Channing,1000,241437427,Horror|Sci-Fi|Thriller,Olivia Newton-John,Grease,170027,5127,Sid Caesar,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,English,USA,PG-13,6000000,1978,944,7.2,2.35,13000
red,Irvin Kershner,223,127,883,441,Kenny Baker,11000,334185206,Horror|Mystery|Thriller,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back,837759,12643,Anthony Daniels,0,duel|famous twist|rebel|rescue|snowy landscape,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900,English,USA,PG,18000000,1980,504,8.8,2.35,17000
red,John Badham,84,114,139,793,Barry Corbin,2000,37707719,Mystery|Thriller,Matthew Broderick,WarGames ,71842,4537,Ally Sheedy,0,computer|game|high school|norad|teenager,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,152,English,USA,PG,12000000,1983,883,7.1,1.85,0
red,Steven Spielberg,149,127,14000,440,Julian Glover,11000,197171806,Action|Horror|Sci-Fi|Thriller,Harrison Ford,Indiana Jones and the Last Crusade,515306,12884,Alison Doody,5,castle|diary|holy grail|map|nazi,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,477,English,USA,PG-13,48000000,1989,844,8.3,2.35,0
red,Rob Reiner,81,138,0,574,Demi Moore,10000,181360000,Horror|Thriller,Tom Cruise,A Few Good Men ,181879,14619,Kevin Pollak,0,cuba|guantanamo|lance corporal|lawyer|murder,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,319,English,USA,R,40000000,1992,2000,7.6,2.35,0
red,Steven Spielberg,308,127,14000,191,Ariana Richards,967,356784000,Action|Crime|Drama|Romance|Thriller,Wayne Knight,Jurassic Park,613473,2129,Bob Peck,0,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895,English,USA,PG-13,63000000,1993,610,8.1,1.85,19000
red,Jan de Bont,114,113,101,848,Alan Ruck,22000,241688385,Action|Adventure|Sci-Fi|Thriller,Philip Seymour Hoffman,Twister,144053,26239,Jami Gertz,0,device|disaster|divorce|storm|tornado,http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1,395,English,USA,PG-13,92000000,1996,946,6.3,2.35,0
red,George Lucas,359,140,0,4000,Christopher Lee,20000,380262555,Action|Adventure|Fantasy,Natalie Portman,Star Wars: Episode III - Revenge of the Sith,520104,44042,Hayden Christensen,4,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1,3286,English,USA,PG-13,113000000,2005,16000,7.6,2.35,10000
blue,Alejandro AmenÃ¡bar,239,101,448,83,Elaine Cassidy,482,141340178,genres,Fionnula Flanagan,The Others ,268581,956,Eric Sykes,0,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,1109,English,USA,PG-13,17000000,2001,203,7.6,1.85,20000
blue,Joel Zwick,168,95,38,249,Louis Mandylor,567,217536138,Crime|Thriller,Nia Vardalos,My Big Fat Greek Wedding,102071,1495,Lainie Kazan,3,baptism|greek|greek restaurant|prejudice|travel agency,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,English,USA,PG,5000000,2002,312,6.6,1.85,5000
